environment | time (millisecond),membrane | V (millivolt)
0,-86.2
1,-86.0441
2,-85.9236
3,-85.8307
4,-85.7591
5,-85.7042
6,-85.6627
7,-85.6317
8,-85.6093
9,-85.5937
10,-85.5836
11,20.6863
12,35.361
13,32.3859
14,29.0578
15,26.1459
16,23.8579
17,22.1652
18,20.9716
19,20.1737
20,19.6796
21,19.4129
22,19.3127
23,19.3316
24,19.4334
25,19.5911
26,19.7849
27,19.9999
28,20.2241
29,20.4495
30,20.6707
31,20.8839
32,21.0871
33,21.2786
34,21.4577
35,21.6238
36,21.7768
37,21.9167
38,22.0435
39,22.1576
40,22.2593
41,22.349
42,22.4271
43,22.4942
44,22.5506
45,22.597
46,22.6339
47,22.6618
48,22.6813
49,22.6928
50,22.6968
51,22.6939
52,22.6844
53,22.669
54,22.6479
55,22.6216
56,22.5905
57,22.5549
58,22.5152
59,22.4716
60,22.4246
61,22.3743
62,22.321
63,22.2649
64,22.2063
65,22.1453
66,22.0822
67,22.017
68,21.95
69,21.8813
70,21.8109
71,21.7391
72,21.6659
73,21.5914
74,21.5157
75,21.4389
76,21.361
77,21.2822
78,21.2023
79,21.1216
80,21.04
81,20.9576
82,20.8744
83,20.7905
84,20.7058
85,20.6204
86,20.5343
87,20.4476
88,20.3601
89,20.2721
90,20.1834
91,20.094
92,20.004
93,19.9135
94,19.8222
95,19.7304
96,19.638
97,19.5449
98,19.4512
99,19.3569
100,19.2619
101,19.1664
102,19.0701
103,18.9733
104,18.8757
105,18.7776
106,18.6787
107,18.5792
108,18.479
109,18.3781
110,18.2765
111,18.1742
112,18.0712
113,17.9674
114,17.8629
115,17.7576
116,17.6515
117,17.5447
118,17.4371
119,17.3287
120,17.2194
121,17.1093
122,16.9984
123,16.8866
124,16.7739
125,16.6604
126,16.5459
127,16.4305
128,16.3142
129,16.1969
130,16.0786
131,15.9594
132,15.8391
133,15.7178
134,15.5955
135,15.4721
136,15.3476
137,15.222
138,15.0953
139,14.9675
140,14.8385
141,14.7083
142,14.5769
143,14.4443
144,14.3105
145,14.1754
146,14.0389
147,13.9012
148,13.7621
149,13.6217
150,13.4799
151,13.3367
152,13.192
153,13.0458
154,12.8982
155,12.749
156,12.5983
157,12.446
158,12.2921
159,12.1366
160,11.9794
161,11.8205
162,11.6599
163,11.4975
164,11.3333
165,11.1673
166,10.9994
167,10.8296
168,10.6579
169,10.4842
170,10.3085
171,10.1308
172,9.95095
173,9.76901
174,9.58491
175,9.39861
176,9.21006
177,9.01923
178,8.82607
179,8.63054
180,8.43259
181,8.23218
182,8.02926
183,7.82378
184,7.6157
185,7.40497
186,7.19154
187,6.97535
188,6.75635
189,6.53449
190,6.30972
191,6.08199
192,5.85122
193,5.61737
194,5.38038
195,5.14019
196,4.89673
197,4.64994
198,4.39975
199,4.1461
200,3.88891
201,3.62812
202,3.36365
203,3.09542
204,2.82335
205,2.54736
206,2.26735
207,1.98324
208,1.69492
209,1.4023
210,1.10526
211,0.803684
212,0.497457
213,0.186445
214,-0.129493
215,-0.450506
216,-0.776756
217,-1.10841
218,-1.44566
219,-1.7887
220,-2.13775
