environment | time (millisecond),membrane | V (millivolt)
0,-86.2
1,-86.0441
2,-85.9236
3,-85.8307
4,-85.7591
5,-85.7042
6,-85.6627
7,-85.6317
8,-85.6093
9,-85.5937
10,-85.5835
11,20.6837
12,30.5251
13,22.8224
14,18.0777
15,15.3864
16,13.9088
17,13.1808
18,12.941
19,13.0257
20,13.3226
21,13.7519
22,14.2568
23,14.7986
24,15.3519
25,15.9015
26,16.4386
27,16.9585
28,17.4576
29,17.934
30,18.387
31,18.8164
32,19.2222
33,19.6039
34,19.9615
35,20.2945
36,20.6029
37,20.8865
38,21.1453
39,21.3796
40,21.59
41,21.7769
42,21.9414
43,22.0843
44,22.2067
45,22.3099
46,22.3951
47,22.4635
48,22.5165
49,22.5553
50,22.5811
51,22.5952
52,22.5985
53,22.5922
54,22.5772
55,22.5544
56,22.5246
57,22.4886
58,22.447
59,22.4005
60,22.3495
61,22.2946
62,22.2362
63,22.1747
64,22.1104
65,22.0436
66,21.9746
67,21.9037
68,21.8309
69,21.7566
70,21.6808
71,21.6038
72,21.5255
73,21.4462
74,21.3658
75,21.2846
76,21.2025
77,21.1195
78,21.0359
79,20.9515
80,20.8664
81,20.7807
82,20.6944
83,20.6074
84,20.5199
85,20.4318
86,20.3431
87,20.2538
88,20.164
89,20.0737
90,19.9828
91,19.8913
92,19.7993
93,19.7067
94,19.6135
95,19.5198
96,19.4255
97,19.3307
98,19.2352
99,19.1392
100,19.0425
101,18.9452
102,18.8474
103,18.7488
104,18.6497
105,18.5499
106,18.4494
107,18.3483
108,18.2465
109,18.1439
110,18.0407
111,17.9368
112,17.8321
113,17.7267
114,17.6205
115,17.5135
116,17.4058
117,17.2973
118,17.1879
119,17.0777
120,16.9667
121,16.8548
122,16.7421
123,16.6285
124,16.5139
125,16.3984
126,16.282
127,16.1647
128,16.0463
129,15.927
130,15.8067
131,15.6853
132,15.5629
133,15.4395
134,15.3149
135,15.1892
136,15.0625
137,14.9345
138,14.8055
139,14.6752
140,14.5437
141,14.411
142,14.277
143,14.1418
144,14.0052
145,13.8674
146,13.7282
147,13.5876
148,13.4456
149,13.3022
150,13.1574
151,13.011
152,12.8632
153,12.7138
154,12.5629
155,12.4104
156,12.2562
157,12.1004
158,11.9429
159,11.7837
160,11.6228
161,11.4601
162,11.2956
163,11.1292
164,10.9609
165,10.7908
166,10.6187
167,10.4446
168,10.2684
169,10.0902
170,9.90991
171,9.72746
172,9.54282
173,9.35596
174,9.16683
175,8.97539
176,8.78159
177,8.58539
178,8.38675
179,8.18561
180,7.98193
181,7.77567
182,7.56676
183,7.35517
184,7.14083
185,6.92371
186,6.70373
187,6.48086
188,6.25503
189,6.02618
190,5.79426
191,5.55921
192,5.32097
193,5.07946
194,4.83464
195,4.58642
196,4.33475
197,4.07955
198,3.82075
199,3.55827
200,3.29204
201,3.02197
202,2.74798
203,2.46998
204,2.18788
205,1.90158
206,1.61097
207,1.31595
208,1.0164
209,0.712197
210,0.403217
211,0.0893183
212,-0.229648
213,-0.553839
214,-0.883425
215,-1.21859
216,-1.55952
217,-1.90644
218,-2.25957
219,-2.61914
