time | time (millisecond),membrane | V (millivolt)
0,-86.2
1,-86.0441
2,-85.9236
3,-85.8307
4,-85.7591
5,-85.7043
6,-85.6627
7,-85.6318
8,-85.6093
9,-85.5938
10,-85.5837
11,20.6851
12,30.5255
13,22.8228
14,18.0784
15,15.3875
16,13.9105
17,13.183
18,12.9439
19,13.0295
20,13.3274
21,13.7577
22,14.2638
23,14.8068
24,15.3615
25,15.9126
26,16.4515
27,16.9733
28,17.4744
29,17.953
30,18.4085
31,18.8407
32,19.2494
33,19.6343
34,19.9953
35,20.332
36,20.6442
37,20.9318
38,21.1949
39,21.4338
40,21.6489
41,21.8408
42,22.0103
43,22.1586
44,22.2865
45,22.3954
46,22.4866
47,22.5611
48,22.6204
49,22.6658
50,22.6983
51,22.7193
52,22.7298
53,22.7308
54,22.7233
55,22.7083
56,22.6865
57,22.6587
58,22.6255
59,22.5876
60,22.5455
61,22.4997
62,22.4506
63,22.3986
64,22.3441
65,22.2874
66,22.2286
67,22.1682
68,22.1062
69,22.0428
70,21.9783
71,21.9127
72,21.8462
73,21.7788
74,21.7107
75,21.6419
76,21.5726
77,21.5027
78,21.4323
79,21.3615
80,21.2903
81,21.2187
82,21.1468
83,21.0745
84,21.0019
85,20.9291
86,20.8559
87,20.7825
88,20.7089
89,20.635
90,20.5608
91,20.4865
92,20.4118
93,20.337
94,20.2619
95,20.1865
96,20.111
97,20.0351
98,19.9591
99,19.8828
100,19.8062
101,19.7294
102,19.6524
103,19.5751
104,19.4975
105,19.4196
106,19.3415
107,19.2631
108,19.1844
109,19.1055
110,19.0262
111,18.9466
112,18.8668
113,18.7866
114,18.7061
115,18.6252
116,18.5441
117,18.4626
118,18.3807
119,18.2985
120,18.216
121,18.1331
122,18.0498
123,17.9662
124,17.8821
125,17.7977
126,17.7129
127,17.6276
128,17.542
129,17.4559
130,17.3694
131,17.2825
132,17.1951
133,17.1073
134,17.019
135,16.9303
136,16.841
137,16.7513
138,16.6611
139,16.5704
140,16.4792
141,16.3875
142,16.2952
143,16.2025
144,16.1091
145,16.0152
146,15.9208
147,15.8258
148,15.7301
149,15.6339
150,15.5371
151,15.4397
152,15.3417
153,15.243
154,15.1437
155,15.0437
156,14.9431
157,14.8417
158,14.7397
159,14.637
160,14.5336
161,14.4295
162,14.3246
163,14.219
164,14.1126
165,14.0054
166,13.8975
167,13.7887
168,13.6792
169,13.5688
170,13.4576
171,13.3455
172,13.2325
173,13.1187
174,13.004
175,12.8884
176,12.7718
177,12.6543
178,12.5359
179,12.4165
180,12.296
181,12.1746
182,12.0522
183,11.9287
184,11.8042
185,11.6786
186,11.5519
187,11.4241
188,11.2952
189,11.1652
190,11.034
191,10.9016
192,10.768
193,10.6332
194,10.4971
195,10.3598
196,10.2212
197,10.0814
198,9.94017
199,9.79763
200,9.65374
201,9.50846
202,9.36178
203,9.21367
204,9.06412
205,8.91309
206,8.76057
207,8.60654
208,8.45096
209,8.29382
210,8.13509
211,7.97475
212,7.81277
213,7.64913
214,7.48381
215,7.31677
216,7.14799
217,6.97744
218,6.80511
219,6.63096
220,6.45496
221,6.2771
222,6.09733
